x,y,humid,humid90,temp,temp90,h10pix,h10pix90,trees,trees90,NoYes,Xmin,Xmax,Ymin,Ymax,group
-35.96662474180173,-46.727371903738494,7.30133304595947,7.9998888015747,8.35832977294922,10.32333984375,16.1752796173096,16.1752796173096,1,5,0,37,38,38,37.5,0
4.728456336674035,-49.07676496203652,6.81716694831848,7.14102792739868,3.02916502952576,4.83750286102295,9.02361106872559,9.02361106872559,4.5,35.6,0,6,9,63,62,0
-9.385862502663075,-2.9195321606867375,16.5720024108887,16.9553318023682,21.4500007629395,21.9466999053955,19.2727794647217,19.5299453735352,1,1,0,20.5,25.5,-21.5,-23.5,0
-40.24111508783947,-0.9465544614463401,24.9750541687012,25.5114213943481,27.283299446106,27.6916706085205,28.392219543457,28.392219543457,4,18.5,1,43,44.5,3,1.5,0
6.885957315241991,-46.98166748996813,10.5875528335571,10.7223306655884,15.4416499137878,15.6749701499939,15.5422201156616,15.5422201156616,2.5,4.5,0,7,7.5,36.5,36.5,0
13.041162632251165,-40.580580985037486,13.1511096954346,13.1511096954346,15.2833003997803,15.2833003997803,14.9241695404053,14.9241695404053,11,11,0,3,3,39.5,39.5,0
-6.663082759262422,-36.55290108486095,12.2372764587402,12.9854961395264,14.9416999816895,15.5599994659424,15.9636096954346,15.9636096954346,5,21.4,0,15.5,18.5,41.5,40,0
18.674843145339825,-20.008298188475347,19.1855026245117,19.8336727142334,28.1833000183105,28.5016998291016,25.7763900756836,28.414778137207,2,10.2,1,0.5,1.5,12.5,11,0
19.814899209593296,-1.845988905394327,24.8152221679687,26.2816680908203,26.8332996368408,28.1216594696045,29.1766700744629,29.301781463623,10,25.6,1,0.5,1.5,10.5,6,0
19.598438265309806,-28.85522330646184,17.8466701507568,17.8466701507568,28.3250007629395,28.3250007629395,25.4825000762939,25.4825000762939,0,0,1,0,0,12.5,12.5,0
-15.980425182071773,4.045669942343868,8.7797504901886,9.31491713523865,12.483350276947,14.2766703605652,21.0504150390625,21.2636352539062,3.5,5.5,0,28,28.5,-29.5,-29.5,0
-27.73110194673441,-32.935281771028414,16.7514194488525,16.9849193572998,20.9916496276855,21.1183296203613,17.5083293914795,17.5083293914795,5,9,0,32.5,32.5,30.5,30,0
34.51218705686708,57.84088037941454,26.9149709701538,27.1331369400024,25.2041501998901,25.340830039978,29.0588893890381,29.0588893890381,64.5,72.1,1,-7,-7,5,4.5,0
-34.043645301925466,-8.900147724015397,26.3080596923828,26.3080596923828,25.7833003997803,25.7833003997803,26.7791690826416,26.7791690826416,0,0,1,39.5,39.5,-7,-7,0
-30.309238796996677,30.41608021448774,23.3790584564209,25.1988918304443,24.11669921875,25.5466606140137,26.7791690826416,26.7791690826416,30,40.2,1,37.5,39,-5,-6,0
-17.456460562189193,27.72881183788914,18.7776103973389,19.2546903610229,22.3832998275757,23.8400098800659,21.0741691589355,21.9793033599854,19.5,39.1,0,28.5,30.5,-15,-16,0
-44.86674402886081,-26.261183533418897,19.1449728012085,19.271971321106,22.6416501998901,23.5424900054932,30.128059387207,30.128059387207,0,0,0,44.5,46.5,16.5,16,0
-5.942787384487143,6.480870521937845,9.16205558776855,9.23105545043945,7.44583010673523,7.49332995414734,9.77500057220459,9.79891700744629,50.5,71.9,0,17,18,54.5,53.5,0
-27.031473487948873,11.375678780298287,14.6184467315674,14.9096687316895,20.0500001907349,20.8299997329712,25.2215251922607,25.2371929168701,22.5,28.5,1,35,35,0.5,0,0
-0.49746011266094714,-43.359863610986814,9.54097108840942,9.9957501411438,22.0749998092651,22.8566904067993,15.6583299636841,15.6997203826904,0,0,0,10.5,15.5,29,26.5,0
-24.015951650172145,-53.574089785386256,11.1881939888,11.2801379203796,11.0416502952576,11.2349703788757,12.9486103057861,12.9486103057861,1.5,1.9,0,28.5,28.5,44.5,44,0
-15.231620857240713,10.805563427570252,9.30219449996948,10.0186913490295,8.8749852180481,11.1699902534485,13.6791648864746,13.9111399650574,37,72.8,0,24.5,25,42,41.5,0
-1.6498802842423055,-3.2299643321956517,10.0560543060303,10.4675539016724,20.4500007629395,20.8099800109863,19.0011100769043,19.2727794647217,2,4.2,0,17,18,-21.5,-22,0
-24.064561045755877,45.89828207145995,23.1149713516235,23.7641942977905,24.2041997909546,24.7233303070068,25.2816696166992,25.4011096954346,24.5,55,1,34,36,-17.5,-21.5,0
4.752770750479108,-28.123312403262787,9.01055526733398,9.01055526733398,8.18332958221436,8.18332958221436,13.1072196960449,13.1072196960449,28,28,0,9,9,47,47,0
