feature,PC1,PC2,PC3,ev
humid,0.003960701193100519,0.1157248998005462,0.07518505657517374,0.7282104768591923
humid90,0.004253838129932547,0.11821276488214327,0.07853739127637288,0.12765688076400664
temp,0.004138291826244811,0.08076674979066861,0.13376788342451545,0.10936099792456243
temp90,0.00438072213533558,0.07959647326671937,0.13061783581782047,0.017239897658123494
h10pix,0.007054489827319101,0.10996768815462316,0.09999001145553266,0.008589652749905828
h10pix90,0.0064497596392387125,0.10689494899044391,0.10255153408803885,0.00627022475540181
trees,0.030261710146895857,0.5294275334974108,-0.32196486304740624,0.0013399480055773826
trees90,0.030819733665383334,0.6284994139966606,-0.4608967605752749,0.0010081179695637917
NoYes,0.00038440783784257973,0.005907315657258317,0.00402013985793663,0.0002171009672206933
Xmin,-0.7051612803614179,0.056931054529125016,0.03969522501215366,6.889077888108616e-05
Xmax,-0.7040506605825366,0.04858202489153851,0.00968541830758493,1.848588911083738e-05
Ymin,-0.05016389751310281,-0.3560257430486009,-0.5542536415880113,1.0507178776847016e-05
Ymax,-0.050165534388251484,-0.35855207428746194,-0.5547426649668045,8.818499677022057e-06
