feature,PC1,PC2,PC3,ev
humid,-0.0019216517627689738,0.12221036446165026,0.06410648954294944,0.7251234975845426
humid90,-0.0010653383047456305,0.12447236234144676,0.06732613513789537,0.12470746184608365
temp,-0.0011993111811322565,0.09424760500299569,0.12308180643901681,0.11553166927249248
temp90,-0.00030388737711384284,0.09289036886964186,0.12201647282258446,0.016378146736522593
h10pix,0.001964726764357362,0.12179295648222244,0.0870190942089426,0.009651329340896108
h10pix90,0.002016783333044927,0.12008278676158404,0.08942137775118414,0.00587801026703724
trees,0.03301528736751673,0.4910002515300638,-0.38975964778296646,0.0013448490462239088
trees90,0.03298557847885885,0.5822167592458511,-0.5076099253731811,0.0009926061690230432
NoYes,4.5438034021560845e-05,0.006584142506588839,0.003247561677851416,0.00028520941686750484
Xmin,-0.7071651019638284,0.05280799254527617,0.0049282121210471146,7.682036604366406e-05
Xmax,-0.7033584138797047,0.04258679352113906,0.010026497847319491,1.1147876471483422e-05
Ymin,-0.03810984959314651,-0.4095140768226275,-0.5165154225340637,1.0284757365456791e-05
Ymax,-0.039493720369481775,-0.412797256981929,-0.5188910555889343,8.967320430273294e-06
